,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
36,14202351,1428,43441102,Entire home/apt,,Toronto,,South Riverdale (70),1,0.0,2,1.0,,280.0,,2017-07-10 14:19:08.811015,43.660965000000004,-79.353287
37,654048,1428,3289972,Entire home/apt,,Toronto,,Morningside (135),7,5.0,8,4.0,,220.0,,2017-07-10 14:16:50.033726,43.785055,-79.20886899999999
38,11318234,1428,14192890,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),11,5.0,6,2.0,,199.0,,2017-07-10 14:16:15.518333,43.639835,-79.395658
39,15337437,1428,97777804,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),1,0.0,2,1.0,,200.0,,2017-07-10 14:16:14.506453,43.623778,-79.48178100000001
40,11021437,1428,46402924,Entire home/apt,,Toronto,,Junction Area (90),0,0.0,6,3.0,,199.0,,2017-07-10 14:16:09.669155,43.665955,-79.470959
41,6761696,1428,7728749,Entire home/apt,,Toronto,,Islington-City Centre West (14),59,5.0,11,3.0,,196.0,,2017-07-10 14:16:04.481747,43.646243,-79.527362
42,6537090,1428,34188112,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,2,2.0,,200.0,,2017-07-10 14:16:01.538208,43.662535,-79.42434300000001
43,7084397,1428,2361495,Entire home/apt,,Toronto,,Palmerston-Little Italy (80),13,5.0,7,2.0,,200.0,,2017-07-10 14:16:01.510392,43.659684999999996,-79.427082
44,13779110,1428,14192890,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),3,4.5,6,2.0,,199.0,,2017-07-10 14:15:46.498184,43.644436,-79.388312
45,19382311,1428,36750238,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),0,0.0,4,1.0,,204.0,,2017-07-10 14:15:38.753839,43.638034999999995,-79.39748900000001
46,19745494,1428,137513321,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),0,0.0,6,3.0,,200.0,,2017-07-10 14:15:31.159709,43.642563,-79.382933
47,6181153,1428,32061076,Entire home/apt,,Toronto,,Annex (95),0,0.0,5,3.0,,200.0,,2017-07-10 14:15:14.457306,43.675814,-79.40000500000001
48,9296355,1428,1595527,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),7,5.0,4,3.0,,187.0,,2017-07-10 14:15:09.784924,43.667233,-79.42410699999999
49,3801308,1428,3750965,Entire home/apt,,Toronto,,Niagara (82),16,5.0,2,1.0,,200.0,,2017-07-10 14:15:07.446424,43.641275,-79.41272
50,10804607,1428,47247767,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),3,4.5,4,1.0,,200.0,,2017-07-10 14:15:07.437832,43.644412,-79.391429
51,10656134,1428,55034783,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),0,0.0,2,1.0,,200.0,,2017-07-10 14:15:07.435024,43.645193,-79.375613
52,6817038,1428,35695703,Entire home/apt,,Toronto,,Trinity-Bellwoods (81),2,0.0,4,2.0,,196.0,,2017-07-10 14:15:07.430322,43.647034000000005,-79.410226
53,13639084,1428,1710056,Entire home/apt,,Toronto,,Trinity-Bellwoods (81),3,4.5,2,2.0,,200.0,,2017-07-10 14:15:07.413060,43.646952,-79.411304
54,9966206,1428,7379381,Entire home/apt,,Toronto,,Niagara (82),0,0.0,2,0.0,,200.0,,2017-07-10 14:15:02.507001,43.638172999999995,-79.41873299999999
55,18757661,1428,45009542,Entire home/apt,,Toronto,,Niagara (82),11,4.5,6,2.0,,200.0,,2017-07-10 14:14:55.054317,43.639984000000005,-79.411008
56,7603270,1428,113345,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),2,0.0,6,1.0,,151.0,,2017-07-10 14:13:54.268178,43.638409,-79.388134
57,6832888,1428,35797243,Entire home/apt,,Toronto,,High Park-Swansea (87),1,0.0,4,2.0,,160.0,,2017-07-10 14:11:44.250921,43.642212,-79.476224
58,6504645,1428,19504524,Entire home/apt,,Toronto,,Forest Hill North (102),0,0.0,3,1.0,,164.0,,2017-07-10 14:10:38.014922,43.707434,-79.427284
59,12869281,1428,7135549,Entire home/apt,,Toronto,,Annex (95),0,0.0,4,1.0,,148.0,,2017-07-10 14:10:18.890603,43.669923,-79.38985799999999
60,19699173,1428,12742095,Entire home/apt,,Toronto,,Willowdale East (51),0,0.0,6,2.0,,151.0,,2017-07-10 14:02:21.812994,43.762683,-79.411159
61,2874755,1428,14585875,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),2,0.0,4,2.0,,132.0,,2017-07-10 14:01:34.391337,43.625318,-79.48917900000001
62,7410907,1428,1919294,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),3,4.5,2,1.0,,127.0,,2017-07-10 13:58:45.445723,43.622733000000004,-79.48238
63,13841093,1428,80682531,Entire home/apt,,Toronto,,High Park North (88),7,4.5,5,2.0,,144.0,,2017-07-10 13:58:40.356975,43.656371,-79.46248800000001
